status	source	name	evidence
green	local	Windows DLL XML_Parse smoke	tests/native/xpact_eiffel_dll_smoke.c links through include/xpact.h and verifies XML_Parse reaches the Eiffel parser.
green	local	Windows native C ABI benchmark	benchmarks/xpact_native_c_benchmark.c links against build/native-eiffel/xpact.lib and records measured rows in docs/benchmarks.md.
green	basic_tests.c	test_predefined_entities	Eiffel parser regression covers predefined entity expansion and the Windows native text callback path is measured.
green	basic_tests.c	test_attributes	Eiffel parser regression covers attribute collection; native start-element callbacks pass attribute vectors for simple documents.
green	basic_tests.c	test_duplicate_cdata_attribute	Eiffel parser rejects duplicate attributes and maps the native error to XML_ERROR_DUPLICATE_ATTRIBUTE.
green	basic_tests.c	test_empty_parse	Eiffel parser maps missing document element to XML_ERROR_NO_ELEMENTS through the native bridge.
green	basic_tests.c	test_get_buffer_1	XML_GetBuffer and XML_ParseBuffer are implemented through the Eiffel runtime bridge for the Windows native path.
green	basic_tests.c	test_line_number_after_parse	Eiffel parser reports Expat-compatible end-of-parse line numbers through XML_GetCurrentLineNumber.
green	basic_tests.c	test_column_number_after_parse	Eiffel parser reports Expat-compatible end-of-parse columns through XML_GetCurrentColumnNumber.
green	basic_tests.c	test_line_number_after_error	Eiffel parser reports Expat-compatible error line numbers through XML_GetCurrentLineNumber.
green	basic_tests.c	test_column_number_after_error	Eiffel parser reports Expat-compatible error columns through XML_GetCurrentColumnNumber.
green	basic_tests.c	test_byte_info_at_end	Eiffel parser reports terminal byte index/count through XML_GetCurrentByteIndex and XML_GetCurrentByteCount.
green	basic_tests.c	test_byte_info_at_error	Eiffel parser reports error byte index/count through XML_GetCurrentByteIndex and XML_GetCurrentByteCount.
green	basic_tests.c	test_nul_byte	The Eiffel-backed native parser now accepts non-final chunks and defers tokenization until the final chunk.
green	basic_tests.c	test_good_cdata_ascii	Eiffel parser emits CDATA character data and CDATA boundary callbacks through the native bridge on chunked input.
green	basic_tests.c	test_line_and_column_numbers_inside_handlers	Eiffel parser updates line and column state immediately before start/end callback dispatch.
green	basic_tests.c	test_byte_info_at_cdata	Eiffel parser reports handler-time byte index/count and XML_GetInputContext windows through the native bridge.
green	basic_tests.c	test_pi_handled_in_default	Eiffel parser forwards raw processing-instruction tokens to the native default handler.
green	basic_tests.c	test_comment_handled_in_default	Eiffel parser forwards raw comment tokens and outside-root whitespace to the native default handler.
green	basic_tests.c	test_cdata_default	Eiffel parser forwards raw CDATA section tokens to the native default handler.
green	basic_tests.c	test_default_doctype_handler	Eiffel parser forwards doctype start/end callbacks and public/system literals to the native default handler.
green	basic_tests.c	test_dtd_default_handling	Eiffel internal-subset scanning preserves default-handler whitespace while suppressing handled DTD declarations.
green	basic_tests.c	test_dtd_attr_handling	Eiffel parser tokenizes ATTLIST declarations and forwards XML_AttlistDeclHandler callbacks for enumeration, NOTATION, CDATA, and default values.
green	basic_tests.c	test_duplicate_cdata_attribute_multiple_attlistdecl	Eiffel parser merges multiple ATTLIST declarations with first declaration winning and delivers default attributes through the native start-element callback.
green	basic_tests.c	test_duplicate_cdata_attribute_multiple_attlistdecl_2	Eiffel parser applies ATTLIST defaults per element across multiple declarations.
green	basic_tests.c	test_duplicate_cdata_attribute_multiple_attlistdecl_3	Eiffel parser preserves first-binding ATTLIST defaults when later declarations add another attribute and duplicate an existing one.
green	basic_tests.c	test_duplicate_id_attribute_multiple_attlistdecl	Eiffel parser reports explicit attribute counts and ID attribute indexes while applying default attributes through the native ABI.
green	basic_tests.c	test_ns_in_attribute_default_without_namespaces	Eiffel parser treats xmlns-prefixed default attributes as ordinary names when namespace mode is not enabled.
green	basic_tests.c	test_dtd_elements	Eiffel parser emits XML_SetElementDeclHandler callbacks and freeable XML_Content models for DTD element declarations.
green	basic_tests.c	test_dtd_elements_nesting	Eiffel parser builds Expat-compatible nested XML_Content arrays for sequence, choice, name, and quantifier content models.
green	basic_tests.c	test_public_notation_no_sysid	Eiffel parser accepts PUBLIC notation declarations without system IDs and forwards XML_NotationDeclHandler callbacks.
green	basic_tests.c	test_bad_notation	Eiffel parser rejects SYSTEM notation declarations missing a system literal with XML_ERROR_SYNTAX.
green	basic_tests.c	test_bad_public_doctype	Eiffel parser validates XML PubidChar in PUBLIC doctype identifiers and maps violations to XML_ERROR_PUBLICID.
green	basic_tests.c	test_bad_doctype	Eiffel parser rejects non-declaration content in internal subsets with XML_ERROR_SYNTAX, covering the upstream prefix-conv malformed doctype case.
green	basic_tests.c	test_bad_doctype_utf8	Eiffel parser rejects the upstream malformed UTF-8 doctype byte sequence with XML_ERROR_INVALID_TOKEN.
green	basic_tests.c	test_bad_doctype_plus	Eiffel parser rejects invalid doctype names before '+' with XML_ERROR_INVALID_TOKEN.
green	basic_tests.c	test_bad_doctype_star	Eiffel parser rejects invalid doctype names before '*' with XML_ERROR_INVALID_TOKEN.
green	basic_tests.c	test_bad_doctype_query	Eiffel parser rejects invalid doctype names before '?' with XML_ERROR_INVALID_TOKEN.
green	basic_tests.c	test_short_doctype	Eiffel parser maps a document-level end tag after a short doctype to XML_ERROR_INVALID_TOKEN.
green	basic_tests.c	test_short_doctype_2	Eiffel parser rejects PUBLIC doctypes missing a public identifier with XML_ERROR_SYNTAX.
green	basic_tests.c	test_short_doctype_3	Eiffel parser rejects SYSTEM doctypes missing a system identifier with XML_ERROR_SYNTAX.
green	basic_tests.c	test_long_doctype	Eiffel parser rejects doctypes with extra external identifier content with XML_ERROR_SYNTAX.
green	misc_tests.c	test_misc_general_entities_support	Eiffel parser emits XML_EntityDeclHandler callbacks and delegates external general entity references through the native callback path.
green	misc_tests.c	test_misc_sync_entity_tolerated	Eiffel parser accepts synchronous internal entity replacement text that opens/closes nested elements and exposes the behavior through the Windows native smoke.
green	misc_tests.c	test_misc_expected_event_ptr_issue_980	Eiffel parser reports XML_GetInputContext and XML_GetCurrentByteCount for character callbacks emitted from internal entity references.
green	misc_tests.c	test_misc_async_entity_rejected	Eiffel parser rejects internal parsed entities that change the surrounding element depth and maps the native error to XML_ERROR_ASYNC_ENTITY.
green	misc_tests.c	test_misc_features	XML_GetFeatureList returns the Expat-compatible terminal list with correct XML_Char and XML_LChar size feature values.
green	misc_tests.c	test_misc_alloc_create_parser	The Windows native smoke verifies XML_ParserCreate_MM returns null when the custom allocator cannot allocate the parser object.
green	misc_tests.c	test_misc_alloc_create_parser_with_encoding	The Windows native smoke verifies XML_ParserCreate_MM allocator failure/success behavior when an explicit encoding is supplied.
green	basic_tests.c	test_ext_entity_no_handler	Eiffel native bridge skips unloaded external general entities when no external entity handler is registered and reports XML_SkippedEntityHandler callbacks.
green	basic_tests.c	test_skipped_external_entity	Eiffel native bridge reports XML_SkippedEntityHandler for unloaded external general entities without emitting character data.
green	basic_tests.c	test_ext_entity_good_cdata	Eiffel-backed XML_ExternalEntityParserCreate creates child parsers that parse external parsed entity fragments, inherit character/CDATA handlers, and emit CDATA text through the Windows DLL smoke.
green	basic_tests.c	test_user_parameters	Eiffel parser emits XML declaration, comment, skipped-entity, external-subset, and parser-as-handler-argument callbacks through the Windows DLL smoke.
green	basic_tests.c	test_ext_entity_ref_parameter	Eiffel-backed external subset callbacks honor explicit XML_SetExternalEntityRefHandlerArg values and Expat's null-argument fallback to the public C XML_Parser pointer.
green	basic_tests.c	test_xmldecl_*	Eiffel parser handles XML declaration callbacks and malformed/misplaced XML declaration diagnostics, including native XML_ERROR_MISPLACED_XML_PI and XML_ERROR_XML_DECL mapping.
green	basic_tests.c	test_wfc_undeclared_entity_*	Eiffel parser distinguishes undefined entity errors from externally-declared/skippable entities based on external subset presence and standalone='yes'.
green	basic_tests.c	test_entity_with_external_subset_unless_standalone	Eiffel parser honors XML_PARAM_ENTITY_PARSING_UNLESS_STANDALONE by skipping external subset loading for standalone='yes' and preserving XML_ERROR_UNDEFINED_ENTITY.
green	basic_tests.c	test_not_standalone_handler_reject	Eiffel parser invokes XML_NotStandaloneHandler for non-standalone external subset usage and maps handler rejection to XML_ERROR_NOT_STANDALONE through the Windows DLL smoke.
green	basic_tests.c	test_not_standalone_handler_accept	Eiffel parser continues after an accepting XML_NotStandaloneHandler, both with and without external subset loading.
green	basic_tests.c	test_set_foreign_dtd	Eiffel parser supports XML_UseForeignDTD before parsing, rejects late changes, and treats a loaded foreign DTD as an external subset for undefined-entity handling.
green	basic_tests.c	test_foreign_dtd_not_standalone	Eiffel parser invokes XML_NotStandaloneHandler before loading a configured foreign DTD and maps rejection to XML_ERROR_NOT_STANDALONE.
